Entry,Entry name,Protein names,Gene names,Organism,Length,Mass,Tissue specificity,Cofactor,Function [CC],Subcellular location [CC],Pathway
Q9UNU6,CP8B1_HUMAN,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase (EC 1.14.14.139) (7-alpha-hydroxy-4-cholesten-3-one 12-alpha-hydroxylase) (CYPVIIIB1) (Cytochrome P450 8B1) (Sterol 12-alpha-hydroxylase),CYP8B1 CYP12,Homo sapiens (Human),501,"58,068",TISSUE SPECIFICITY: Liver. {ECO:0000269|PubMed:10051404}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:O02766}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in primary bile acid biosynthesis. Catalyzes the 12alpha-hydroxylation of 7alpha-hydroxy-4-cholesten-3-one, an intermediate metabolite in cholic acid biosynthesis (PubMed:10051404). Controls biliary balance of cholic acid and chenodeoxycholic acid, ultimately regulating the intestinal absorption of dietary lipids (By similarity). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH--hemoprotein reductase) (By similarity). {ECO:0000250|UniProtKB:O02766, ECO:0000250|UniProtKB:O88962, ECO:0000269|PubMed:10051404}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O02766}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:O02766}; Single-pass membrane protein {ECO:0000255}.,PATHWAY: Lipid metabolism; bile acid biosynthesis. {ECO:0000250|UniProtKB:O88962}.
P22680,CP7A1_HUMAN,Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (CYPVII) (Cholesterol 7-alpha-hydroxylase) (Cholesterol 7-alpha-monooxygenase) (EC 1.14.14.23),CYP7A1 CYP7,Homo sapiens (Human),504,"57,661",TISSUE SPECIFICITY: Detected in liver. {ECO:0000269|PubMed:15796896}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|Ref.12}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of endogenous cholesterol and its oxygenated derivatives (oxysterols) (PubMed:11013305, PubMed:12077124, PubMed:19965590, PubMed:2384150, PubMed:21813643). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:2384150, PubMed:11013305, PubMed:12077124, PubMed:19965590, PubMed:21813643). Functions as a critical regulatory enzyme of bile acid biosynthesis and cholesterol homeostasis. Catalyzes the hydroxylation of carbon hydrogen bond at 7-alpha position of cholesterol, a rate-limiting step in cholesterol catabolism and bile acid biosynthesis (PubMed:12077124, PubMed:19965590, PubMed:2384150). 7-alpha hydroxylates several oxysterols, including 4beta-hydroxycholesterol and 24-hydroxycholesterol (PubMed:11013305, PubMed:12077124). Catalyzes the oxidation of the 7,8 double bond of 7-dehydrocholesterol and lathosterol with direct and predominant formation of the 7-keto derivatives (PubMed:21813643). {ECO:0000269|PubMed:11013305, ECO:0000269|PubMed:12077124, ECO:0000269|PubMed:19965590, ECO:0000269|PubMed:21813643, ECO:0000269|PubMed:2384150}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:11013305, ECO:0000305|PubMed:2384150}; Single-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000305|PubMed:11013305, ECO:0000305|PubMed:2384150}; Single-pass membrane protein {ECO:0000305}.","PATHWAY: Lipid metabolism; bile acid biosynthesis. {ECO:0000305|PubMed:11013305, ECO:0000305|PubMed:12077124, ECO:0000305|PubMed:2384150}.; PATHWAY: Steroid metabolism; cholesterol degradation. {ECO:0000305|PubMed:11013305, ECO:0000305|PubMed:12077124, ECO:0000305|PubMed:2384150}."
P11509,CP2A6_HUMAN,"Cytochrome P450 2A6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIA6) (Coumarin 7-hydroxylase) (Cytochrome P450 IIA3) (Cytochrome P450(I))",CYP2A6 CYP2A3,Homo sapiens (Human),494,"56,517","TISSUE SPECIFICITY: Liver. {ECO:0000269|PubMed:1889415, ECO:0000269|PubMed:1944238}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: Exhibits a high coumarin 7-hydroxylase activity. Can act in the hydroxylation of the anti-cancer drugs cyclophosphamide and ifosphamide. Competent in the metabolic activation of aflatoxin B1. Constitutes the major nicotine C-oxidase. Acts as a 1,4-cineole 2-exo-monooxygenase. Possesses low phenacetin O-deethylation activity. {ECO:0000269|PubMed:11695850, ECO:0000269|PubMed:16086027, ECO:0000269|PubMed:17125252, ECO:0000269|PubMed:18779312, ECO:0000269|PubMed:1889415, ECO:0000269|PubMed:1944238}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
P10635,CP2D6_HUMAN,Cytochrome P450 2D6 (EC 1.14.14.-) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase),CYP2D6 CYP2DL1,Homo sapiens (Human),497,"55,769",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of fatty acids, steroids and retinoids (PubMed:18698000, PubMed:19965576, PubMed:20972997, PubMed:21289075, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:18698000, PubMed:19965576, PubMed:20972997, PubMed:21289075, PubMed:21576599). Catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA) (PubMed:19965576, PubMed:20972997). Metabolizes endocannabinoid arachidonoylethanolamide (anandamide) to 20-hydroxyeicosatetraenoic acid ethanolamide (20-HETE-EA) and 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:18698000, PubMed:21289075). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). Catalyzes the oxidative transformations of all-trans retinol to all-trans retinal, a precursor for the active form all-trans-retinoic acid (PubMed:10681376). Also involved in the oxidative metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic antidepressants. {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:16352597, ECO:0000269|PubMed:18698000, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997, ECO:0000269|PubMed:21289075, ECO:0000269|PubMed:21576599}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:21576599}; Peripheral membrane protein.,"PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:10681376}.; PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997}.; PATHWAY: Steroid metabolism; cholesterol metabolism. {ECO:0000269|PubMed:21576599}."
Q02318,CP27A_HUMAN,"Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)",CYP27A1 CYP27,Homo sapiens (Human),531,"60,235","TISSUE SPECIFICITY: Expressed in the neural retina and underlying retinal pigment epithelium (at protein level) (PubMed:21411718). Expressed in the gray and white matter of cerebellum (at protein level) (PubMed:28190002). {ECO:0000269|PubMed:21411718, ECO:0000269|PubMed:28190002}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P17177}; ,"FUNCTION: Cytochrome P450 monooxygenase that catalyzes regio- and stereospecific hydroxylation of cholesterol and its derivatives. Hydroxylates (with R stereochemistry) the terminal methyl group of cholesterol side-chain in a three step reaction to yield at first a C26 alcohol, then a C26 aldehyde and finally a C26 acid (PubMed:9660774, PubMed:12077124, PubMed:21411718, PubMed:28190002). Regulates cholesterol homeostasis by catalyzing the conversion of excess cholesterol to bile acids via both the 'neutral' (classic) and the 'acid' (alternative) pathways (PubMed:9660774, PubMed:1708392, PubMed:11412116, PubMed:2019602, PubMed:7915755, PubMed:9186905, PubMed:9790667). May also regulate cholesterol homeostasis via generation of active oxysterols, which act as ligands for NR1H2 and NR1H3 nuclear receptors, modulating the transcription of genes involved in lipid metabolism (PubMed:9660774, PubMed:12077124). Plays a role in cholestanol metabolism in the cerebellum. Similarly to cholesterol, hydroxylates cholestanol and may facilitate sterol diffusion through the blood-brain barrier to the systemic circulation for further degradation (PubMed:28190002). Also hydroxylates retinal 7-ketocholesterol, a noxious oxysterol with pro-inflammatory and pro-apoptotic effects, and may play a role in its elimination from the retinal pigment epithelium (PubMed:21411718). May play a redundant role in vitamin D biosynthesis. Catalyzes 25-hydroxylation of vitamin D3 that is required for its conversion to a functionally active form (PubMed:15465040). {ECO:0000269|PubMed:11412116, ECO:0000269|PubMed:12077124, ECO:0000269|PubMed:15465040, ECO:0000269|PubMed:1708392, ECO:0000269|PubMed:2019602, ECO:0000269|PubMed:21411718, ECO:0000269|PubMed:28190002, ECO:0000269|PubMed:7915755, ECO:0000269|PubMed:9186905, ECO:0000269|PubMed:9660774, ECO:0000269|PubMed:9790667}.","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P17178}; Peripheral membrane protein {ECO:0000250|UniProtKB:P17178}. Note=Post-translationally targeted to mitochondria. All three of the receptor proteins in the TOM complex, TOMM70, TOMM20 and TOMM22 are required for the translocation across the mitochondrial outer membrane. After translocation into the matrix, associates with the inner membrane as a membrane extrinsic protein. {ECO:0000250|UniProtKB:P17178}.","PATHWAY: Hormone biosynthesis; cholecalciferol biosynthesis. {ECO:0000305|PubMed:15465040}.; PATHWAY: Steroid metabolism; cholesterol degradation. {ECO:0000305|PubMed:12077124, ECO:0000305|PubMed:9660774}.; PATHWAY: Lipid metabolism; bile acid biosynthesis. {ECO:0000305|PubMed:11412116}."
P11712,CP2C9_HUMAN,Cytochrome P450 2C9 (EC 1.14.14.1) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC9) (Cholesterol 25-hydroxylase) (Cytochrome P-450MP) (Cytochrome P450 MP-4) (Cytochrome P450 MP-8) (Cytochrome P450 PB-1) (S-mephenytoin 4-hydroxylase),CYP2C9 CYP2C10,Homo sapiens (Human),490,"55,628",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and steroids (PubMed:7574697, PubMed:9866708, PubMed:9435160, PubMed:12865317, PubMed:15766564, PubMed:19965576, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:7574697, PubMed:9866708, PubMed:9435160, PubMed:12865317, PubMed:15766564, PubMed:19965576, PubMed:21576599). Catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA) (PubMed:7574697, PubMed:15766564, PubMed:19965576, PubMed:9866708). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). Exhibits low catalytic activity for the formation of catechol estrogens from 17beta-estradiol (E2) and estrone (E1), namely 2-hydroxy E1 and E2 (PubMed:12865317). Catalyzes bisallylic hydroxylation and hydroxylation with double-bond migration of polyunsaturated fatty acids (PUFA) (PubMed:9866708, PubMed:9435160). Also metabolizes plant monoterpenes such as limonene. Oxygenates (R)- and (S)-limonene to produce carveol and perillyl alcohol (PubMed:11950794). Contributes to the wide pharmacokinetics variability of the metabolism of drugs such as S-warfarin, diclofenac, phenytoin, tolbutamide and losartan (PubMed:25994031). {ECO:0000269|PubMed:11950794, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:15766564, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:21576599, ECO:0000269|PubMed:25994031, ECO:0000269|PubMed:7574697, ECO:0000269|PubMed:9435160, ECO:0000269|PubMed:9866708}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:21576599}; Peripheral membrane protein.,"PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:15766564, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:7574697, ECO:0000269|PubMed:9435160}.; PATHWAY: Steroid metabolism; cholesterol metabolism. {ECO:0000269|PubMed:21576599}.; PATHWAY: Terpene metabolism; (4R)-limonene degradation. {ECO:0000269|PubMed:11950794}."
O43174,CP26A_HUMAN,Cytochrome P450 26A1 (EC 1.14.13.-) (Cytochrome P450 retinoic acid-inactivating 1) (Cytochrome P450RAI) (hP450RAI) (Retinoic acid 4-hydroxylase) (Retinoic acid-metabolizing cytochrome),CYP26A1 CYP26 P450RAI1,Homo sapiens (Human),497,"56,199","TISSUE SPECIFICITY: Expressed in most fetal and adult tissues with highest levels in adult liver, heart, pituitary gland, adrenal gland, placenta and regions of the brain (PubMed:9826557). Expressed at high levels in lung, pancreas, skin and uterus (at protein level) (PubMed:22020119). Lower expression level is detected in spleen, kidney, intestine and adipose tissue (at protein level) (PubMed:22020119). {ECO:0000269|PubMed:22020119, ECO:0000269|PubMed:9826557}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of all-trans retinoic acid (atRA), a signaling molecule that binds to retinoic acid receptors and regulates gene transcription. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). Catalyzes the hydroxylation of carbon hydrogen bonds of atRA primarily at C-4 and C-18. Has no activity toward 9-cis and 13-cis retinoic acid stereoisomers (PubMed:22020119, PubMed:9228017, PubMed:9716180). May play a role in the oxidative metabolism of xenobiotics such as tazarotenic acid (PubMed:26937021). {ECO:0000269|PubMed:22020119, ECO:0000269|PubMed:26937021, ECO:0000269|PubMed:9228017, ECO:0000269|PubMed:9716180}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:9716180}; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:9716180}; Peripheral membrane protein.,
P05181,CP2E1_HUMAN,Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J),CYP2E1 CYP2E,Homo sapiens (Human),493,"56,849",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of fatty acids (PubMed:10553002, PubMed:18577768). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:10553002, PubMed:18577768). Catalyzes the hydroxylation of carbon-hydrogen bonds. Hydroxylates fatty acids specifically at the omega-1 position displaying the highest catalytic activity for saturated fatty acids (PubMed:10553002, PubMed:18577768). May be involved in the oxidative metabolism of xenobiotics (Probable). {ECO:0000269|PubMed:10553002, ECO:0000269|PubMed:18577768, ECO:0000305|PubMed:9348445}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P05182}; Peripheral membrane protein {ECO:0000250|UniProtKB:P05182}. Microsome membrane {ECO:0000250|UniProtKB:P05182}; Peripheral membrane protein {ECO:0000250|UniProtKB:P05182}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:P05182}; Peripheral membrane protein {ECO:0000250|UniProtKB:P05182}. Note=Post-translationally targeted to mitochondria. TOMM70 is required for the translocation across the mitochondrial outer membrane. After translocation into the matrix, associates with the inner membrane as a membrane extrinsic protein. {ECO:0000250|UniProtKB:P05182}.","PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:10553002, ECO:0000269|PubMed:18577768}."
P05093,CP17A_HUMAN,"Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)",CYP17A1 CYP17 S17AH,Homo sapiens (Human),508,"57,371",,"COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:22266943, ECO:0000269|PubMed:25301938}; ","FUNCTION: A cytochrome P450 monooxygenase involved in corticoid and androgen biosynthesis (PubMed:9452426, PubMed:27339894, PubMed:22266943, PubMed:25301938). Catalyzes 17-alpha hydroxylation of C21 steroids, which is common for both pathways. A second oxidative step, required only for androgen synthesis, involves an acyl-carbon cleavage. The 17-alpha hydroxy intermediates, as part of adrenal glucocorticoids biosynthesis pathway, are precursors of cortisol (PubMed:9452426, PubMed:25301938) (Probable). Hydroxylates steroid hormones, pregnenolone and progesterone to form 17-alpha hydroxy metabolites, followed by the cleavage of the C17-C20 bond to form C19 steroids, dehydroepiandrosterone (DHEA) and androstenedione (PubMed:9452426, PubMed:27339894, PubMed:22266943, PubMed:25301938). Has 16-alpha hydroxylase activity. Catalyzes 16-alpha hydroxylation of 17-alpha hydroxy pregnenolone, followed by the cleavage of the C17-C20 bond to form 16-alpha-hydroxy DHEA. Also 16-alpha hydroxylates androgens, relevant for estriol synthesis (PubMed:27339894, PubMed:25301938). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:9452426, PubMed:27339894, PubMed:22266943, PubMed:25301938). {ECO:0000269|PubMed:22266943, ECO:0000269|PubMed:25301938, ECO:0000269|PubMed:27339894, ECO:0000269|PubMed:9452426, ECO:0000305|PubMed:8027220}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:2808364}. Microsome membrane {ECO:0000305|PubMed:2808364}.,"PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:22266943, ECO:0000269|PubMed:25301938, ECO:0000269|PubMed:27339894, ECO:0000269|PubMed:9452426}.; PATHWAY: Steroid biosynthesis; glucocorticoid biosynthesis. {ECO:0000269|PubMed:25301938, ECO:0000269|PubMed:9452426}."
Q16850,CP51A_HUMAN,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),CYP51A1 CYP51,Homo sapiens (Human),503,"56,806","TISSUE SPECIFICITY: Ubiquitously expressed with highest levels in testis, ovary, adrenal, prostate, liver, kidney and lung. {ECO:0000269|PubMed:8619637}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:20149798}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in sterol biosynthesis. Catalyzes 14-alpha demethylation of lanosterol and 24,25-dihydrolanosterol likely through sequential oxidative conversion of 14-alpha methyl group to hydroxymethyl, then to carboxylaldehyde, followed by the formation of the delta 14,15 double bond in the sterol core and concomitant release of formic acid (PubMed:20149798, PubMed:8619637). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:20149798, PubMed:8619637). {ECO:0000269|PubMed:20149798, ECO:0000269|PubMed:8619637}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q64654}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q64654}; Single-pass membrane protein {ECO:0000255}.,PATHWAY: Steroid biosynthesis; zymosterol biosynthesis; zymosterol from lanosterol: step 1/6. {ECO:0000305|PubMed:8619637}.
Q9NR63,CP26B_HUMAN,Cytochrome P450 26B1 (EC 1.14.13.-) (Cytochrome P450 26A2) (Cytochrome P450 retinoic acid-inactivating 2) (Cytochrome P450RAI-2) (Retinoic acid-metabolizing cytochrome),CYP26B1 CYP26A2 P450RAI2,Homo sapiens (Human),512,"57,513","TISSUE SPECIFICITY: Highly expressed in brain, particularly in the cerebellum and pons. {ECO:0000269|PubMed:10823918}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q9Y6A2}; ,"FUNCTION: Involved in the metabolism of retinoic acid (RA), rendering this classical morphogen inactive through oxidation (PubMed:10823918, PubMed:22020119). Involved in the specific inactivation of all-trans-retinoic acid (all-trans-RA), with a preference for the following substrates: all-trans-RA > 9-cis-RA > 13-cis-RA (PubMed:10823918, PubMed:22020119). Generates several hydroxylated forms of RA, including 4-OH-RA, 4-oxo-RA, and 18-OH-RA (PubMed:10823918). Catalyzes the hydroxylation of carbon hydrogen bonds of atRA primarily at C-4 (PubMed:10823918, PubMed:22020119). Essential for postnatal survival (By similarity). Plays a central role in germ cell development: acts by degrading RA in the developing testis, preventing STRA8 expression, thereby leading to delay of meiosis (By similarity). Required for the maintenance of the undifferentiated state of male germ cells during embryonic development in Sertoli cells, inducing arrest in G0 phase of the cell cycle and preventing meiotic entry (By similarity). Plays a role in skeletal development, both at the level of patterning and in the ossification of bone and the establishment of some synovial joints (PubMed:22019272). {ECO:0000250|UniProtKB:Q811W2, ECO:0000269|PubMed:10823918, ECO:0000269|PubMed:22019272, ECO:0000269|PubMed:22020119}.; FUNCTION: Has also a significant activity in oxidation of tazarotenic acid and may therefore metabolize that xenobiotic in vivo. {ECO:0000269|PubMed:26937021}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O43174}; Peripheral membrane protein {ECO:0000250|UniProtKB:O43174}. Microsome membrane {ECO:0000250|UniProtKB:O43174}; Peripheral membrane protein {ECO:0000250|UniProtKB:O43174}.,
O43447,PPIH_HUMAN,Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP),PPIH CYP20 CYPH,Homo sapiens (Human),177,"19,208",,,"FUNCTION: PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:20676357). Participates in pre-mRNA splicing. May play a role in the assembly of the U4/U5/U6 tri-snRNP complex, one of the building blocks of the spliceosome. May act as a chaperone. {ECO:0000269|PubMed:11823439, ECO:0000269|PubMed:12875835, ECO:0000269|PubMed:20676357, ECO:0000269|PubMed:9570313}.",SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:9570313}. Cytoplasm {ECO:0000269|PubMed:9570313}. Note=Colocalizes with spliceosomal snRNPs. A small proportion may also be cytoplasmic.,
Q08752,PPID_HUMAN,Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D),PPID CYP40 CYPD,Homo sapiens (Human),370,"40,764",TISSUE SPECIFICITY: Widely expressed.,,"FUNCTION: PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:11350175, PubMed:20676357). Proposed to act as a co-chaperone in HSP90 complexes such as in unligated steroid receptors heterocomplexes. Different co-chaperones seem to compete for association with HSP90 thus establishing distinct HSP90-co-chaperone-receptor complexes with the potential to exert tissue-specific receptor activity control. May have a preference for estrogen receptor complexes and is not found in glucocorticoid receptor complexes. May be involved in cytoplasmic dynein-dependent movement of the receptor from the cytoplasm to the nucleus. May regulate MYB by inhibiting its DNA-binding activity. Involved in regulation of AHR signaling by promoting the formation of the AHR:ARNT dimer; the function is independent of HSP90 but requires the chaperone activity. Involved in regulation of UV radiation-induced apoptosis. Promotes cell viability in anaplastic lymphoma kinase-positive anaplastic large-cell lymphoma (ALK+ ALCL) cell lines. {ECO:0000269|PubMed:11350175, ECO:0000269|PubMed:18708059, ECO:0000269|PubMed:20676357, ECO:0000269|PubMed:22681779, ECO:0000269|PubMed:23220213, ECO:0000269|PubMed:9659917}.; FUNCTION: (Microbial infection) May be involved in hepatitis C virus (HCV) replication and release. {ECO:0000269|PubMed:19932913, ECO:0000269|PubMed:21711559}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11525244, ECO:0000269|PubMed:18708059}. Nucleus, nucleolus {ECO:0000269|PubMed:11525244, ECO:0000269|PubMed:18708059}. Nucleus, nucleoplasm {ECO:0000269|PubMed:11525244, ECO:0000269|PubMed:18708059}.",
P30405,PPIF_HUMAN,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)",PPIF CYP3,Homo sapiens (Human),207,"22,040",,,"FUNCTION: PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:20676357). Involved in regulation of the mitochondrial permeability transition pore (mPTP) (PubMed:26387735). It is proposed that its association with the mPTP is masking a binding site for inhibiting inorganic phosphate (Pi) and promotes the open probability of the mPTP leading to apoptosis or necrosis; the requirement of the PPIase activity for this function is debated (PubMed:26387735). In cooperation with mitochondrial p53/TP53 is involved in activating oxidative stress-induced necrosis (PubMed:22726440). Involved in modulation of mitochondrial membrane F(1)F(0) ATP synthase activity and regulation of mitochondrial matrix adenine nucleotide levels (By similarity). Has anti-apoptotic activity independently of mPTP and in cooperation with BCL2 inhibits cytochrome c-dependent apoptosis (PubMed:19228691). {ECO:0000250|UniProtKB:Q99KR7, ECO:0000269|PubMed:19228691, ECO:0000269|PubMed:20676357, ECO:0000269|PubMed:22726440, ECO:0000269|PubMed:26387735}.",SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:10406942}.,
A0A087X1C5,CP2D7_HUMAN,Putative cytochrome P450 2D7 (EC 1.14.14.1),CYP2D7,Homo sapiens (Human),515,"57,489",TISSUE SPECIFICITY: Expressed in brain cortex (at protein level). {ECO:0000269|PubMed:15051713}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: May be responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It may be involved in the metabolism of codeine to morphine (PubMed:15051713). However, another study could not confirm it (PubMed:18838503). {ECO:0000269|PubMed:15051713, ECO:0000269|PubMed:18838503}.",SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000305|PubMed:15051713}. Mitochondrion {ECO:0000269|PubMed:18838503}.,
